60 450
1 4 1
1 5 1
1 9 1
1 15 1
1 18 1
1 22 1
1 23 1
1 26 1
1 28 1
1 35 1
1 39 1
1 42 1
1 43 1
1 47 1
1 51 1
1 53 1
1 54 1
1 58 1
1 60 1
2 9 1
2 11 1
2 12 1
2 17 1
2 19 1
2 21 1
2 22 1
2 23 1
2 26 1
2 35 1
2 41 1
2 47 1
2 48 1
2 51 1
2 54 1
2 57 1
3 4 1
3 9 1
3 10 1
3 11 1
3 12 1
3 14 1
3 18 1
3 27 1
3 29 1
3 36 1
3 42 1
3 43 1
3 45 1
4 22 1
4 31 1
4 32 1
4 37 1
4 38 1
4 42 1
4 44 1
4 48 1
4 54 1
4 59 1
5 7 1
5 8 1
5 9 1
5 21 1
5 25 1
5 31 1
5 34 1
5 35 1
5 38 1
5 41 1
5 59 1
6 11 1
6 13 1
6 14 1
6 16 1
6 19 1
6 28 1
6 36 1
6 38 1
6 45 1
6 46 1
6 56 1
6 60 1
7 11 1
7 13 1
7 14 1
7 15 1
7 16 1
7 29 1
7 34 1
7 44 1
7 48 1
7 51 1
7 60 1
8 10 1
8 11 1
8 13 1
8 14 1
8 16 1
8 20 1
8 29 1
8 30 1
8 35 1
8 41 1
8 43 1
8 49 1
8 50 1
8 51 1
8 53 1
8 59 1
8 60 1
9 10 1
9 13 1
9 15 1
9 20 1
9 21 1
9 29 1
9 35 1
9 39 1
9 40 1
9 41 1
9 44 1
9 46 1
9 49 1
9 50 1
9 52 1
9 54 1
9 55 1
9 56 1
9 58 1
9 59 1
9 60 1
10 11 1
10 13 1
10 20 1
10 22 1
10 27 1
10 29 1
10 36 1
10 42 1
10 43 1
10 44 1
10 47 1
10 57 1
10 58 1
10 59 1
11 20 1
11 21 1
11 24 1
11 31 1
11 34 1
11 41 1
11 45 1
11 46 1
11 49 1
11 54 1
11 55 1
11 56 1
11 57 1
12 14 1
12 15 1
12 23 1
12 24 1
12 31 1
12 39 1
12 42 1
12 45 1
12 54 1
12 56 1
13 17 1
13 29 1
13 30 1
13 33 1
13 34 1
13 39 1
13 40 1
13 47 1
13 48 1
13 52 1
13 53 1
13 56 1
13 59 1
14 16 1
14 18 1
14 25 1
14 49 1
14 57 1
15 17 1
15 20 1
15 21 1
15 25 1
15 31 1
15 34 1
15 35 1
15 38 1
15 56 1
15 58 1
15 59 1
16 21 1
16 22 1
16 24 1
16 27 1
16 28 1
16 29 1
16 34 1
16 39 1
16 42 1
16 43 1
16 47 1
16 51 1
16 56 1
17 18 1
17 21 1
17 23 1
17 28 1
17 32 1
17 37 1
17 39 1
17 40 1
17 47 1
17 49 1
17 53 1
17 58 1
18 24 1
18 30 1
18 32 1
18 36 1
18 38 1
18 43 1
18 44 1
18 50 1
18 52 1
18 54 1
18 55 1
18 56 1
18 57 1
19 24 1
19 27 1
19 40 1
19 42 1
19 44 1
19 45 1
19 47 1
19 49 1
19 53 1
19 55 1
19 59 1
20 25 1
20 29 1
20 30 1
20 32 1
20 33 1
20 37 1
20 38 1
20 48 1
20 50 1
20 51 1
20 58 1
21 24 1
21 29 1
21 35 1
21 36 1
21 42 1
21 46 1
21 50 1
21 53 1
21 56 1
21 58 1
21 59 1
22 25 1
22 28 1
22 33 1
22 52 1
22 60 1
23 25 1
23 36 1
23 41 1
23 49 1
23 56 1
23 60 1
24 25 1
24 29 1
24 38 1
24 41 1
24 47 1
24 50 1
24 51 1
24 52 1
24 53 1
24 56 1
25 42 1
25 44 1
25 48 1
25 57 1
25 60 1
26 31 1
26 33 1
26 37 1
26 48 1
26 50 1
26 52 1
26 55 1
27 28 1
27 37 1
27 41 1
27 42 1
27 43 1
27 46 1
27 50 1
27 51 1
27 52 1
28 29 1
28 30 1
28 31 1
28 35 1
28 37 1
28 39 1
28 40 1
28 42 1
28 43 1
28 49 1
28 50 1
28 52 1
28 56 1
28 58 1
28 59 1
29 36 1
29 38 1
29 42 1
29 47 1
29 50 1
29 52 1
29 57 1
29 59 1
29 60 1
30 35 1
30 38 1
30 40 1
30 42 1
30 48 1
30 50 1
30 51 1
30 56 1
30 59 1
31 35 1
31 41 1
31 58 1
31 59 1
32 34 1
32 38 1
32 39 1
32 43 1
32 44 1
32 46 1
32 49 1
32 52 1
33 34 1
33 35 1
33 40 1
33 43 1
33 46 1
33 49 1
33 56 1
33 58 1
34 41 1
34 44 1
34 49 1
34 50 1
34 60 1
35 40 1
35 41 1
35 44 1
35 51 1
35 55 1
35 59 1
36 37 1
36 41 1
36 50 1
36 52 1
36 56 1
36 57 1
37 44 1
37 46 1
37 55 1
37 57 1
38 47 1
38 51 1
38 54 1
38 55 1
38 58 1
39 40 1
39 42 1
39 43 1
39 44 1
39 45 1
39 52 1
39 53 1
39 54 1
39 57 1
39 59 1
39 60 1
40 42 1
40 48 1
40 49 1
40 52 1
40 53 1
40 56 1
40 57 1
40 59 1
41 45 1
41 54 1
41 57 1
42 46 1
42 53 1
42 56 1
42 59 1
42 60 1
43 44 1
43 46 1
43 48 1
43 50 1
43 52 1
43 59 1
44 45 1
44 51 1
44 54 1
45 48 1
45 53 1
45 56 1
46 50 1
46 52 1
46 56 1
47 50 1
47 51 1
47 57 1
48 50 1
48 51 1
48 53 1
48 54 1
49 51 1
51 53 1
51 55 1
51 57 1
51 59 1
52 55 1
53 55 1
53 60 1
54 57 1
55 59 1
56 58 1
57 59 1
59 60 1
