101 5006
  2   1 104 
  3   1 -8.675000e+01 
  4   1 -106 
  5   1 3.150000e+01 
  6   1 1.032500e+02 
  7   1 -1.567500e+02 
  8   1 9.500000e+00 
  9   1 115 
 10   1 -1.367500e+02 
 11   1 2.050000e+01 
 12   1 -5.425000e+01 
 13   1 9.250000e+00 
 14   1 -31 
 15   1 3.675000e+01 
 16   1 -9.575000e+01 
 17   1  -2 
 18   1  10 
 19   1 -18 
 20   1 -12 
 21   1 1.265000e+02 
 22   1 -5.175000e+01 
 23   1 -4.825000e+01 
 24   1 1.437500e+02 
 25   1 -2.675000e+01 
 26   1 7.525000e+01 
 27   1 7.750000e+01 
 28   1 6.975000e+01 
 29   1 4.850000e+01 
 30   1 -1.367500e+02 
 31   1  77 
 32   1 -64 
 33   1 -4.350000e+01 
 34   1 105 
 35   1 -5.625000e+01 
 36   1 2.875000e+01 
 37   1 -9.225000e+01 
 38   1 4.175000e+01 
 39   1 3.075000e+01 
 40   1 -4.250000e+00 
 41   1 6.500000e+00 
 42   1 -134 
 43   1 3.950000e+01 
 44   1  45 
 45   1 1.675000e+01 
 46   1 -5.450000e+01 
 47   1 -55 
 48   1 1.207500e+02 
 49   1 1.650000e+01 
 50   1   3 
 51   1 -95 
 52   1 1.947500e+02 
 53   1 -7.500000e-01 
 54   1 -9.925000e+01 
 55   1 -2.750000e+00 
 56   1  44 
 57   1 -33 
 58   1 1.450000e+01 
 59   1 3.525000e+01 
 60   1 -9.175000e+01 
 61   1 -3.825000e+01 
 62   1 -2.425000e+01 
 63   1 -2.175000e+01 
 64   1 -5.125000e+01 
 65   1 3.925000e+01 
 66   1 -2.325000e+01 
 67   1 -135 
 68   1 7.675000e+01 
 69   1  56 
 70   1 -1.475000e+01 
 71   1 2.925000e+01 
 72   1 2.750000e+00 
 73   1 -1.350000e+01 
 74   1 4.650000e+01 
 75   1 5.425000e+01 
 76   1 2.450000e+01 
 77   1 -7.175000e+01 
 78   1 5.500000e+00 
 79   1 -7.500000e+00 
 80   1  64 
 81   1 3.725000e+01 
 82   1 -2.150000e+01 
 83   1 1.050000e+01 
 84   1 1.512500e+02 
 85   1 -4.175000e+01 
 86   1 -4.250000e+01 
 87   1 2.250000e+01 
 88   1 -9.750000e+01 
 89   1 -5.525000e+01 
 90   1 1.350000e+01 
 91   1 6.925000e+01 
 92   1 -20 
 93   1 1.182500e+02 
 94   1 -1.775000e+01 
 95   1 3.675000e+01 
 96   1 -5.575000e+01 
 97   1 -2.375000e+01 
 98   1 -4.325000e+01 
 99   1 5.000000e-01 
100   1 7.750000e+00 
101   1 -1.037500e+02 
  3   2 7.500000e-01 
  4   2 -12 
  5   2 8.500000e+00 
  6   2 -9.250000e+00 
  7   2 9.500000e+00 
  8   2 -7.750000e+00 
  9   2 5.500000e+00 
 10   2 5.500000e+00 
 11   2   6 
 12   2 7.500000e-01 
 13   2 -1.075000e+01 
 14   2 -4.500000e+00 
 15   2 -9.250000e+00 
 16   2 -7.250000e+00 
 17   2 -9.750000e+00 
 18   2 4.750000e+00 
 19   2 -1.175000e+01 
 20   2 7.500000e-01 
 21   2 -5.750000e+00 
 22   2 4.250000e+00 
 23   2 6.250000e+00 
 24   2 -3.750000e+00 
 25   2 5.500000e+00 
 26   2  -3 
 27   2 -10 
 28   2 -3.250000e+00 
 29   2   3 
 30   2 4.250000e+00 
 31   2 7.750000e+00 
 32   2 3.500000e+00 
 33   2 -1.150000e+01 
 34   2 -1.125000e+01 
 35   2 -7.750000e+00 
 36   2 1.125000e+01 
 37   2 -4.750000e+00 
