300 22425 
1 74 2
1 274 7
1 266 4
1 275 -10
1 227 -1
1 167 8
1 80 7
1 200 -1
1 146 -10
1 115 5
1 49 0
1 50 7
1 114 -8
1 79 8
1 150 2
1 197 10
1 4 9
1 162 -6
1 5 -4
1 173 9
1 284 -9
1 187 3
1 230 2
1 124 -3
1 224 9
1 92 -2
1 13 -4
1 198 -6
1 68 -2
1 181 -5
1 6 5
1 77 -7
1 222 -4
1 29 -5
1 120 7
1 288 -1
1 178 -8
1 132 -10
1 235 -10
1 188 0
1 217 10
1 163 7
1 193 -8
1 156 2
1 161 4
1 126 4
1 248 8
1 98 -2
1 17 0
1 35 -8
1 65 -5
1 209 5
1 109 7
1 72 6
1 9 -8
1 130 10
1 104 -3
1 172 7
1 246 0
1 247 -5
1 145 7
1 108 10
1 195 8
1 281 1
1 279 -7
1 283 4
1 257 7
1 53 10
1 272 6
1 155 -10
1 3 -2
1 242 4
1 216 10
1 238 9
1 169 -1
1 134 -5
1 199 3
1 264 2
1 253 8
1 32 5
1 290 2
1 106 10
1 219 1
1 160 -6
1 139 -7
1 111 8
1 143 4
1 121 0
1 59 2
1 180 9
1 46 -8
1 136 -5
1 91 -6
1 133 2
1 119 2
1 251 -5
1 116 -3
1 100 -2
1 131 2
1 44 7
1 210 -8
1 99 -10
1 252 2
1 137 -4
1 110 9
1 241 -3
1 151 6
1 171 -6
1 175 -6
1 107 -7
1 20 2
1 196 4
1 295 8
1 179 0
1 2 5
1 229 -4
1 261 -6
1 88 -7
1 89 -2
1 191 -2
1 223 -3
1 105 10
1 67 1
1 239 1
1 296 -4
1 66 -1
1 286 2
1 7 -6
1 86 -3
1 21 7
1 93 -6
1 43 1
1 23 -9
1 140 10
1 158 -2
1 176 4
1 254 -9
1 149 -8
1 245 3
1 30 1
1 8 8
1 127 5
1 71 -5
1 265 8
2 148 -1
2 7 8
2 299 1
2 231 -5
2 113 7
2 51 -9
2 136 -6
2 104 6
2 115 4
2 277 3
2 269 -7
2 133 -8
2 86 3
2 209 9
2 282 -1
2 36 -10
2 111 -10
2 258 1
2 295 4
2 132 3
2 251 3
2 265 -1
2 206 4
2 294 -8
2 46 7
2 162 -3
2 253 -3
2 151 0
2 135 -10
2 163 9
2 222 -2
2 109 -2
2 126 5
2 92 -4
2 155 0
2 67 3
2 201 6
2 189 6
2 143 6
2 12 3
2 39 5
2 75 0
2 43 5
2 199 6
2 276 3
2 192 -5
2 152 -10
2 280 8
2 293 4
2 6 0
2 267 10
2 81 7
2 123 -5
2 283 2
2 84 -10
2 3 10
2 207 -5
2 63 -5
2 180 -7
2 57 4
2 82 6
2 238 9
2 68 1
2 248 5
2 130 -6
2 171 5
2 89 9
2 72 -4
2 181 -1
2 284 -5
2 129 4
2 70 -6
2 246 -1
2 275 -5
2 41 4
2 55 6
2 289 4
2 164 5
2 100 9
2 211 -8
2 119 -2
2 202 -4
2 24 -4
2 25 -6
2 108 -10
2 167 0
2 22 -5
2 161 7
2 80 -2
2 47 5
2 219 10
2 233 9
2 16 -5
2 37 3
2 169 3
2 208 7
2 184 -3
2 229 1
2 40 -5
2 232 8
2 8 8
2 225 -9
2 95 -4
2 196 7
2 235 10
2 272 -7
2 124 -6
2 97 7
2 87 9
2 220 -10
2 182 -7
2 270 -10
2 255 9
2 44 6
2 200 6
2 139 8
2 183 1
2 125 -7
2 118 -8
2 131 -10
2 243 -5
2 290 -4
2 191 3
2 116 6
2 281 0
2 52 -9
2 105 2
2 188 10
2 27 1
2 261 9
2 13 -1
2 205 4
2 172 -6
2 190 0
2 94 -10
2 50 -1
2 107 9
2 176 8
2 78 10
2 187 9
2 218 -2
2 221 -6
2 203 -6
2 53 6
2 19 -3
2 250 0
2 195 -9
2 291 -4
2 17 5
3 286 -3
3 208 -6
3 90 5
3 167 -6
3 257 1
3 160 -1
3 176 -10
3 146 3
3 183 -1
3 248 -8
3 60 10
3 214 0
3 143 1
3 249 -5
3 26 -6
3 133 -6
3 236 -7
3 278 3
3 27 5
3 222 0
3 59 2
3 262 10
3 165 -9
3 95 -10
3 196 -4
3 288 3
